"","cities","countries","aqi_table.X2024"
"442","Benin City","Nigeria",33.4
"443","Dubai","United Arab Emirates",33.4
"444","Shenyang","China",33.3
"445","Tieling","China",33.3
"446","Hefei","China",33.2
"447","Huaidian","China",33.2
"448","Changzhou","China",33.2
"449","Anshan","China",33.2
"450","Gunjur","Gambia",33.2
"451","Deyang","China",33.1
"452","Sangli","India",33.1
"453","Maanshan","China",33
"454","Shengli","China",33
"455","Bakau","Gambia",33
"456","Lengshuijiang","China",32.9
"457","Sirohi","India",32.9
"458","Chaloem Phra Kiat","Thailand",32.9
"459","Dharwad","India",32.7
"460","Talghar","Kazakhstan",32.7
"461","Dhahran","Saudi Arabia",32.7
"462","Chang Klan","Thailand",32.7
"463","Wiang","Thailand",32.7
"464","Ban Tai","Thailand",32.7
"465","Huangshi","China",32.6
"466","Xiangxiang","China",32.6
"467","Dongying","China",32.6
"468","Vijayawada","India",32.6
"469","Chuzhou","China",32.5
"470","Bayan Nur","China",32.5
"471","Yangzhou","China",32.4
"472","Yadgir","India",32.4
"473","Gedong Tataan","Indonesia",32.4
"474","Bijelo Polje","Montenegro",32.4
"475","Olifantsfontein","South Africa",32.4
"476","Pak Nam","Thailand",32.4
"477","Lvliang","China",32.3
"478","Surat","India",32.3
"479","Si Wichian","Thailand",32.3
"480","Taizhou","China",32.2
"481","Galle","Sri Lanka",32.2
"482","Rishikesh","India",32.1
"483","Balykshi","Kazakhstan",32.1
"484","Wuhai","China",32
"485","Changchun","China",32
"486","Hanzhong","China",32
"487","Chengdu","China",32
"488","Keneba","Gambia",32
"489","Abu Dhabi","United Arab Emirates",32
"490","Wuhu","China",31.9
"491","Dingxi","China",31.9
"492","Kumul","China",31.9
"493","Manama","Bahrain",31.8
"494","Jiayuguan","China",31.8
"495","Wuxi","China",31.8
"496","Jilin","China",31.8
"497","Rajamahendravaram","India",31.7
"498","Tumakuru","India",31.7
"499","Medan","Indonesia",31.7
"500","Wiang Nuea","Thailand",31.7
"501","Agra","India",31.6
"502","Cibinong","Indonesia",31.6
"503","Victoria Island","Nigeria",31.6
"504","Brits","South Africa",31.6
"505","Baiyin","China",31.5
"506","Wulingyuan","China",31.5
"507","Kadapa","India",31.5
"508","Bhilai","India",31.5
"509","New Cairo","Egypt",31.4
"510","Tashkent","Uzbekistan",31.4
"511","Anqing","China",31.3
"512","Sukuta","Gambia",31.3
"513","Doha","Qatar",31.3
"514","Chongqing","China",31.2
"515","Huludao","China",31.2
"516","Bogor","Indonesia",31.2
"517","Patan","Nepal",31.2
"518","Pong Yang Khok","Thailand",31.2
"519","Pai","Thailand",31.2
"520","Sam Phran","Thailand",31.2
"521","Siping","China",31.1
"522","Pljevlja","Montenegro",31.1
"523","Leandra","South Africa",31.1
"524","Van Dien","Vietnam",31.1
"525","Sagar","India",31
"526","Valjevo","Serbia",31
"527","Beijing","China",30.9
"528","Changli","China",30.9
"529","Lianyungang","China",30.9
"530","Gharghoda","India",30.9
"531","Kannur","India",30.9
"532","Emalahleni","South Africa",30.9
"533","Mae Ka","Thailand",30.9
"534","Tha Wasukri","Thailand",30.9
"535","Sarajevo","Bosnia Herzegovina",30.8
"536","Xianning","China",30.8
"537","Naharlagun","India",30.7
"538","Kalasin","Thailand",30.7
"539","Angol","Chile",30.6
"540","Hyderabad","India",30.6
"541","Bloemfontein","South Africa",30.6
"542","Shiyan","China",30.5
"543","Ungaran","Indonesia",30.5
"544","Al Jubayl","Saudi Arabia",30.5
"545","Nacimiento","Chile",30.4
"546","Nanchang","China",30.4
"547","Gracanica","Bosnia Herzegovina",30.3
"548","Daqing","China",30.3
"549","Mudanjiang","China",30.3
"550","Zhangjiajie","China",30.2
"551","Xining","China",30.2
"552","Kuwait City","Kuwait",30.2
"553","Vanderbijlpark","South Africa",30.2
"554","Gayathi","United Arab Emirates",30.2
"555","Songyang","China",30.1
"556","Lengshuitan","China",30.1
"557","Shuozhou","China",30.1
"558","Brajrajnagar","India",30.1
"559","Nong Han","Thailand",30.1
"560","Baotou","China",30
"561","Huzhou","China",30
"562","Bengaluru","India",30
"563","Zliten","Libya",30
"564","Banja Luka","Bosnia Herzegovina",29.9
"565","Runing","China",29.9
"566","Pagak","Indonesia",29.9
"567","Mae Fa Luang","Thailand",29.9
"568","Benxi","China",29.8
"569","Surabaya","Indonesia",29.8
"570","Pasig","Philippines",29.7
"571","Uthai Thani","Thailand",29.7
"572","Pingxiang","China",29.6
"573","Tirupati","India",29.6
"574","Prayagraj","India",29.6
"575","Ruwais","United Arab Emirates",29.6
"576","Porto Velho","Brazil",29.5
"577","Linxia","China",29.5
"578","Suzhou","China",29.5
"579","Yancheng","China",29.5
"580","Bilaspur","India",29.5
"581","Mandikhera","India",29.5
"582","Sweihan","United Arab Emirates",29.5
"583","Qinhuangdao","China",29.4
"584","Jiujiang","China",29.4
"585","Panjin","China",29.4
"586","Ban Tom","Thailand",29.4
"587","Vogosca","Bosnia Herzegovina",29.3
"588","Songyuan","China",29.3
"589","Ya'an","China",29.3
"590","Klang","Malaysia",29.3
"591","Tetovo","North Macedonia",29.3
"592","Kosjeric","Serbia",29.3
"593","Chiang Rai","Thailand",29.3
"594","Mueang","Thailand",29.3
"595","Tuzla","Bosnia Herzegovina",29.2
"596","Chizhou","China",29.2
"597","Qingyang","China",29.2
"598","Tianshui","China",29.2
"599","Changzhou Qu","China",29.1
"600","Jimo","China",29.1
"601","Eloor","India",29.1
"602","Semarang","Indonesia",29
"603","Busia","Kenya",29
"604","Phuc Yen","Vietnam",29
"605","Laktasi","Bosnia Herzegovina",28.9
"606","Rizhao","China",28.9
"607","Kičevo","North Macedonia",28.9
"608","Strumica","North Macedonia",28.9
"609","Bang Phrom","Thailand",28.9
"610","Pingliang","China",28.8
"611","Enshi","China",28.8
"612","Hohhot","China",28.8
"613","Chikkaballapur","India",28.8
"614","Ban Waen","Thailand",28.8
"615","Nakhon Phanom","Thailand",28.8
"616","Xishan","China",28.6
"617","Hangzhou","China",28.6
"618","Nakhon Pathom","Thailand",28.6
"619","Madinat Zayed","United Arab Emirates",28.6
"620","Tongliao","China",28.5
"621","Barmer","India",28.4
"622","Cuddalore","India",28.4
"623","Lipe","Serbia",28.4
"624","Ko Rian","Thailand",28.4
"625","Dazhou","China",28.3
